ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
63,,STEMM-Change,University of Nottingham,University of Nottingham,https://www.stemm-change.co.uk/project-overview/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Programme,Webpage,Programme or Initiative,Informational Resource,Webpage,"Academia, Industry ",University/Organisation,EPS - general,Not Specified,"Barrier Removal, Recruitment Strategies, Mentorship & Sponsorship", Targeted Grants,,,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,,,Pilot in single setting,Pilot in single setting
64,,Let’s Be Clear About EDI: Conversation Guides/Aids from University of Nottingham,University of Nottingham,University of Nottingham,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Framework,Webpage,Training,Training & Educational ,Webpage,Academia,University/Organisation,EPS - general,Not Specified,,,Accessible & Inclusive Workspaces,,No,,,,Widespread adoption,Pilot in single setting
65,,Social Inclusion Projects,Social Inlcusion Group,University of Warwick,https://warwick.ac.uk/services/socialinclusion/projects/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,University/Organisation,Any,,"Recruitment Strategies, Diverse Leadership",," Cultural Competency,  Systemic Change",,Yes,https://warwick.ac.uk/services/socialinclusion/projects/,Diversity monitoring data,Diversity Statistic,Pilot in single setting,Pilot in single setting
66,,Dignity At Work and Study Policy,,Cardiff University ,https://www.cardiff.ac.uk/public-information/policies-and-procedures/dignity-at-work-and-study,Available,Excluded,Not related to EDI ,2025-04-24 00:00:00,2019-06-10 00:00:00,Anna Linton,,"Strategies, policies or processes",Policy Document,,,,,,,,,,,,,,,,,
67,,Code Of Conduct ,Kings College London ,Kings College London ,https://www.kcl.ac.uk/policyhub,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,"Policies, Strategies & Processes",Databases and List,Webpage,Academia,Single University/Organisation,,Not Specified,,,Organisational Culture,,No,,,,Not applicable,Pilot in single setting
68,Example,Preventing Bullying and Harassment in Research and Innovation,,URKI,https://www.ukri.org/what-we-do/supporting-healthy-research-and-innovation-culture/bullying-and-harassment/,Available,Excluded,Not related to EDI ,2025-04-24 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,,,,,,,,,,,,,,,,,
69,,How To Manage and Report Sexual Harassment in The Workplace,Culture Shift ,Culture Shift ,https://insight.culture-shift.co.uk/workplace/how-to-manage-and-report-sexual-harassment-in-the-workplace,Page not found,Excluded,Page not found.,2026-02-05 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
70,,Report And support ,The University of Manchester,The University of Manchester,https://www.reportandsupport.manchester.ac.uk/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,"Policies, Strategies & Processes",Informational Resource,Webpage,Academia,Multiple Universities/Organisations,,Not Specified,,,"Harassment, Bullying and Microagression Prevention",,No,,,,Not applicable,Scaling
71,,Report + Support ,University of Nottingham,University of Nottingham,https://reportandsupport.nottingham.ac.uk/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,"Policies, Strategies & Processes",,Webpage,Academia,Multiple Universities/Organisations,,Not Specified,,,"Harassment, Bullying and Microagression Prevention",,No,,,,Not applicable,Scaling
72,,Tackling Racism and Racial Harassment: Directory of Initiatives at UK Universities,Universities UK,Universities UK,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,Available,Included  ,,2025-04-28 00:00:00,2021-07-06 00:00:00,Anna Linton,,Collection,Report,Programme or Initiative,Case Study and Testimonial,Document,Academia,Multiple Universities/Organisations,Any,Race,"Pipeline Development, Diverse Leadership", Targeted Grants,Systemic Change,,No,,,,Not applicable,
