ID,Title,Link,url_status,http_status_code,final_url,content_type,detected_type,content_length,final_decision,skip_reason
82,Mentoring And Political Education Programme,https://www.fabianwomen.org.uk/mentoring,ok,200,https://www.fabianwomen.org.uk/mentoring,text/html; charset=UTF-8,html,,extract,
83,Future Leaders Fellows Development Network - Mentorship Programme,https://www.flfdevnet.com/mentoring/,ok,200,https://www.flfdevnet.com/mentoring/,text/html; charset=UTF-8,html,,extract,
84,Early Career Mentoring Programme,https://connectedeverything.ac.uk/early-career-mentoring-programme/,ok,200,https://connectedeverything.ac.uk/early-career-mentoring-programme/,text/html; charset=UTF-8,html,,extract,
85,Reverse Mentoring,https://www.stemm-change.co.uk/home/reverse-mentoring/,ok,200,https://www.stemm-change.co.uk/home/reverse-mentoring/,text/html; charset=UTF-8,html,,extract,
86,The VisNet Project,https://www.gla.ac.uk/colleges/scienceengineering/research/visnet/,ok,200,https://www.gla.ac.uk/colleges/scienceengineering/edi/visnet/,text/html; charset=UTF-8,html,,extract,
87,Toolkit For Integrating Gender-Sensitive Approach into Research and Teaching,https://eige.europa.eu/sites/default/files/garcia_toolkit_gender_research_teaching.pdf,ok,200,https://eige.europa.eu/sites/default/files/garcia_toolkit_gender_research_teaching.pdf,application/pdf,pdf,1422173,extract,
89,Inclusive Design Toolkit,http://www.inclusivedesigntoolkit.com/,ok,200,http://www.inclusivedesigntoolkit.com/,text/html,html,6816,extract,
91,6 Principles for Inclusive Design,https://uxplanet.org/6-principles-for-inclusive-design-3e9867f7f63e,ok,200,https://uxplanet.org/6-principles-for-inclusive-design-3e9867f7f63e?gi=15eb96e8231f,text/html; charset=utf-8,html,,extract,
92,"Best Practices in Equity, Diversity and Inclusion in Research",https://www.sshrc-crsh.gc.ca/funding-financement/nfrf-fnfr/edi-eng.aspx#5,ok,200,https://sshrc-crsh.canada.ca/funding-financement/nfrf-fnfr/edi-eng.aspx#5,text/html; charset=utf-8,html,,extract,
94,Gendered Innovations,http://genderedinnovations.stanford.edu/what-is-gendered-innovations.html,ok,200,http://genderedinnovations.stanford.edu/what-is-gendered-innovations.html,text/html,html,45458,extract,
95,Top Tips on Inclusive Teaching,https://www.iop.org/sites/default/files/2019-07/IGB-10-tips-whole-school-poster.pdf,ok,200,https://www.iop.org/sites/default/files/2019-07/IGB-10-tips-whole-school-poster.pdf,application/pdf,pdf,526054,extract,
96,Introduction To Web Accessibility,https://www.w3.org/WAI/fundamentals/accessibility-intro/#what,ok,200,https://www.w3.org/WAI/fundamentals/accessibility-intro/#what,text/html; charset=utf-8,html,,extract,
97,Recognising Authors (CRediT),http://eprints.gla.ac.uk/201273/1/201273.pdf,ok,200,http://eprints.gla.ac.uk/201273/1/201273.pdf,application/pdf,pdf,1947710,extract,
98,RAI EDI Toolkit,https://rai.ac.uk/toolkits/edi-toolkit/,ok,200,https://rai.ac.uk/toolkits/edi-toolkit/,text/html; charset=UTF-8,html,,extract,
99,Tackling Racial Harassment in Higher Education,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racial-harassment-higher,ok,200,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racial-harassment-higher,text/html; charset=UTF-8,html,,extract,
100,"Promoting Equality, Diversity and Inclusion in Research and Funding: Reflections from A Digital Manufacturing Research Network",https://link.springer.com/article/10.1186/s41073-024-00144-w,ok,200,https://link.springer.com/article/10.1186/s41073-024-00144-w,text/html; charset=utf-8,html,,extract,
101,Gathering Good Practices For Inclusive University Selection Processes,https://www.ukri.org/wp-content/uploads/2025/06/EPSRC-200625-GatheringGoodPracticesInclusiveUniversitySelectionProcesses.pdf,ok,200,https://www.ukri.org/wp-content/uploads/2025/06/EPSRC-200625-GatheringGoodPracticesInclusiveUniversitySelectionProcesses.pdf,application/pdf,pdf,1218805,extract,
102,EDICA - Evidence Review: Peer Review Bias in The Funding Process: Main Themes and Interventions,https://researchportal.hw.ac.uk/en/publications/evidence-review-peer-review-bias-in-the-funding-process-main-them,ok,200,https://researchportal.hw.ac.uk/en/publications/evidence-review-peer-review-bias-in-the-funding-process-main-them/,text/html;charset=UTF-8,html,,extract,
103,Lab Access Guidelines,https://www.uea.ac.uk/groups-and-centres/projects/access-all-areas-in-labs/access-guidelines,ok,200,https://www.uea.ac.uk/groups-and-centres/projects/access-all-areas-in-labs/access-guidelines,text/html; charset=utf-8,html,106863,extract,
104,Northern Power Inclusion Matters Toolkit,https://collections.durham.ac.uk/files/r1gf06g267h,ok,200,https://collections.durham.ac.uk/files/r1gf06g267h,text/html; charset=utf-8,html,,extract,
105,Towards A Fully Inclusive Environment for Disabled People In STEMM: A NADSN White Paper,https://www.nadsn-uk.org/wp-content/uploads/2025/04/NADSN_STEMM_White_Paper_090425-v0.3.pdf,ok,200,https://www.nadsn-uk.org/wp-content/uploads/2025/04/NADSN_STEMM_White_Paper_090425-v0.3.pdf,application/pdf,pdf,1424865,extract,
